"das Comic, die Comics",comic (n.)
"die Creme, die Cremen",cream (n.)
dabei,there; among them (adv.)
dafür sein,for it (adv.)
dagegen sein,against (adv.)
damals,then (adv.)
"die Datei, die Dateien",file (n.)
denken,to think (v.)
deshalb,therefore (adv.)
deutlich,clear; frank (adj.)
dick,thick; fat (adj.)
"das Ding, die Dinge",thing (n.)
direkt,direct (adj.)
diskutieren,to discuss (v.)
doch,but; anyway (adv.)
dringend,urgent (adj.)
drinnen,inside (adj.)
drüben,there (adv.)
dumm,dumb (adj.)
dunkel,dark (adj.)
dünn,thin; skinny (adj.)
"das E-book, die E-books",ebook (n.)
echt,real; genuine (adj.)
egal,whatever (adj.)
eigen,own 
eigendlich,actually (adv.)
eilig,urgent (adj.)/ hastily (adv.)
"das Einkaufszentrum, die Einkaufszentrumen",shopping mall (n.)
einpacken,to wrap; to pack (v.)
eintragen,to enroll; to sign (v.)
einverstanden sein,agree (adj.)
das Eis,ice (n.)
endlich,finally (adv.)
eng,tight (adj.)
"das Erdgeschoss, die Erdschosse",first floor (n.)
"die Erfahrung, die Erfahrungen",experience (n.)
erinnen,remember (v.)
erkältet sein,be sick (adj.)
"die Ermäßigung, die Ermäßigungen",discount (n.)
erreichen,to reach (v.)
erst,not until; only (time) (adv.)
einziehen,move in (v.)
"das Fach, die Fächer",major (n.)
"die Abfahrt, die Abfahrten",departure (n.)
"die Fahrkarte, die Fahrkarten",ticket (car) (n.)
"der Fahrplan, die Fahrpläne",schedule; timetable (n.)
fallen,to fall (v.)
"der Fan, die Fans",fan (n.)
fantastisch,fantastic (adj.)
fast,almost (adv.)
faul,lazy (adj.)
"das Fenster, die Fenster",window (n.)
die Ferien,celebration (n.)
"der Fernseher, die Fernseher",TV (n.)
das Fest,party (n.)
das Festival,festival (n.)
fett,fatty (adj.)
"die Firma, die Firmaen",company (n.)
fit sein,fit (adj.)
fleißig,diligent (adj.)
"der Flohmarkt, die Flohmärkte",flea market (n.)
"der Flug, die Flüge",flight (n.)
"der Fluss, die Flüsse",river (n.)
"der Fotoapparat, die Fotoapparate",photography device (n.)
freiwillig,voluntary (adj.)
freundlich,friendly (adj.)
froh,happy (adj.)
fühlen (sich),feel (adj.)
"der Führerschein, die Führerscheine",driverlisence (n.)
die Fundsachen,lost property (n.)
furchbar,awful; terrible (adj.)
"die Gabel, die Gabeln",fork (n.)
ganz,completely (adv.)
"die Garage, die Garagen",garage (n.)
gefährlich,dangerous (adj.)
"das Gegenteil, die Gegenteile",opposite (n.)
"das Gehalt, die Gehälter",salary (n.)
"die Geldbörse, die Geldbörsen",purse (n.)
genau,right; exactly (adv.)
genug,enough (adj.)
"das Gerät, die Geräte",tool (n.)
"das Gericht, die Gerichte",dish (n.)
das Geschirr,dishes (bowls…) (n.)
"das Gesicht, die Gesichter",face (n.)
gestern,yesterday (adv.)
gesund,healthy (adj.)
die Gesundheit,health (n.)
"das Gewitter, die Gewitter",storm (n.)
"die Gitarre, die Gitarren",guitar (n.)
die Grippe,flu (n.)
frisch,fresh (adj.)
"der Hals, die Hälse",neck (n.)
halten,to hold (v.)
"der Hamburger, die Hamburgers",hamburger (n.)
"das Handtuch, die Handtücher",handtowel (n.)
hangen,to hang (v.)
hart,hard (adj.)
hässlich,ugly (adj.)
"die Hauptstadt, die Hauptstädte",capital city (n.)
"der Haushalt, die Haushalte",household (n.)
"das Heft, die Hefte",exercise book (n.)
heiß,hot (adj.)
"die Heizung, die Heizungen",heating (n.)
"das Hemd, die Hemden",shirt (n.)
heraus,out (prep.)
herein,in (prep.)
herstellen,to produce; to manufacture (v.)
herunterladen,to upload (v.)
die Hilfe,help (n.)
das Himmel,sky (n.)
hinten,back (adv.)
hoffen,to hope (v.)
hofflich,Hopefully (adv.)
"die Homepage, die Homepages",homepage (n.)
"die Hose, die Hosen",pants (n.)
husten,cough (n.)
"die Idee, die Ideen",idea (n.)
informieren (sich),to inform (v.)
"die Insel, die Inseln",island (n.)
"das Instrument, die Instrumente",instrument (n.)
intelligent,intelligent (adj.)
"das Interesse, die Interessen",interests (n.)
interessieren (sich),be interested in (v.)
interessant,interesting (adj.)
"das Interview, die Interviews",interview (n.)
die Jeans,jeans (n.)
jemand,someone (pron.)
joggen,to jog (v.)
"die Jugendherberge, die Jugendherbergen",hostel (n.)
"der Kalender, die Kalender",calender (n.)
kalt,cold (adj.)
"die Kamera, die Kameras",camera (n.)
der Käse,cheese (n.)
"das Kaufhaus, die Kaufhäuser",department store (n.)
"der Keller, die Keller",basement; cellar (n.)
"die Kette, die Ketten",necklace (n.)
"die Kirche, die Kirchen",church (n.)
klappen,to clap (v.)
"das Klavier, die Klaviere",piano (n.)
"das Kleid, die Kleider",dress (n.)
klug,smart (adj.)
komisch,strange (adj.)
kontrollieren,to check (v.)
"das Konzert, die Konzerte",concert (n.)
"der Köpfer, die Köpfer",body (n.)
die Kosmetik,cosmetics (n.)
kostenlos,free (adj.)
"die Krankheit, die Kranheiten",sickness (n.)
"das Krankenhaus, die Krankenhäuse",hospital (n.)
"die Krankenkasse, die Krankenkassen",health insurance scheme (n.)
"der Kredit, die Kredite",credit (n.)
"die Kreuzung, die Kreuzungen",crossroad (n.)
"der Krimi, die Krimis",crime thriller (n.)
kühl,cool (adj.)
"die Kultur, die Kulturen",culture (n.)
kündigen,to cancel; to terminate (v.)
kenntnisse ,knowledge (n.)
"die Lampe, die Lampen",lamp (n.)
"die Landschaft, die Landschaften",scenery (n.)
langweilig,boring (adj.)
lassen,to let; to allow (v.)
leer,empty (adj.)
leid tun,to be sorry (v.)
leihen,to lend (v.)
lieben,to love (v.)
liefen,to deliver (to customers) (v.)
"der Link, die Links",link (n.)
"der Löffel, die Löffel",spoon (n.)
lügen,lie (n.)
"die Lüge, die Lüge",to lie (v.)
die Lust,interest (n.)
"der Magen, die Magen",stomach (n.)
"die Mailbox, die Mailboxen",mailbox (n.)
mal,times (n.)
malen,to draw (v.)
manchmal,sometimes (adv.)
"die Mannschaft, die Mannschaften",team (n.)
"der Mantel, die Mäntel",coat (n.)
meinen,to mean (v.)
die Meinung,meaning (n.)
meistens,mostly (adv.)
"die Menge, die Mengen",amount (n.)
merken,to notice (v.)
"die Messe, die Messen",fair (n.)
"das Messer, die Messer",knife (n.)
mindestens,at least (adv.)
das Mineralwasser,mineral water (n.)
"der Motor, die Moteren",engine (n.)
"der Motoroller, die Motoroller",motorcycle (n.)
der Müll,trash (n.)
"das Museum, die Museen",museum (n.)
"die Mütze, die Mützen",cup (n.)
"der Markt, die Märkte",market (n.)
"das Medikament, die Medikamente",medicine (n.)
"der Mitagessen, die Mitagessen",lunch (n.)
"das Mittel, die Mittel",way; means (n.)
"die Mode, die Moden",fashion
"der Nachbar, die Nachbarn",neighbor (male) (n.)
"die Nachbarin, die Nachbarinnen",neighbor (female) (n.)
"die Nachricht, die Nachrichten",news (n.)
nächste,next (adv.)
die Nähe,near (n.)
nass,wet (adj.)
die Natur,nature (n.)
natürlich,certainly (adv.)
nebenen,next door (adv.)
neblig,foggy (adj.)
nennen,to call (v.)
nervös,nervous (adj.)
nett,kind (adj.)
niemand,nobody (pron.)
nirgends,nowhere (adv.)
"die Notiz, die Notizen",note (n.)
notieren,to take note (v.)
"die Note, die Noten",grade (n.)
notwendig,necessary (adj.)
"die Nudel, die Nudeln",noodle (n.)
nützlich,useful (adj.)
"das Ohr, die Ohren",ear (n.)
online,online (adj.)
"die Orange, die Orangen",orange (n.)
"die Ordnung, die Ordnungen",order (n.)
organisieren,to organize (v.)
"das Paar, die Paare",couple (n.)
ein paar,a few (adv.)
packen,to pack (v.)
"das Paket, die Pakete",package (n.)
"das Parfüm, die Parfüms",perfume (n.)
parken,park (n.)
passen,to fit (v.)
passieren,to happen (v.)
"das Passwort, die Passwörter",password (n.)
"die Person, die Personnen",person (n.)
"das Pferd, die Pferde",horse (n)
"die Pflanze, die Pflanzen",plant (n.)
"das Plakat, die Plakate",poster (n.)
plannen,to plan (v.)
plötzlich,suddenly (adv.)
"die Portion, die Portionnen",portion (n.)
"das Poster, die Poster",poster (n.)
"die Postkarte, die Postkarten",postcard (n.)
praktisch,practical (adj.)
preiswert,inexpensive (adj.)
privat,private (adj.)
pro,per (prep.)
probieren,to try (v.)
"das Produkt, die Produkte",product (n.)
"das Programm, die Programme",program (n.)
"das Projekt, die Projekte",project (n.)
prüfen,to test (v.)
"der Pullover, die Pullover",sweater (n.)
putzen,to clean (v.)
"die Qualität, die Qualitäten",quality (n.)
das Quiz,quiz (n.)
"das Radio, die Radios",radio (n.)
raten,to guess (v.)
"das Rathaus, die Rathäuser",city hall (n.)
"das Rätsel, die Rätsel",riddle; puzzle (n.)
rechnen,to count; to calculate (v.)
recht haben,to be right (adj.)
rechts,to the right (adv.)
reich,rich (adj.)
"der Reifen, die Reifen",tire (n.)
"die Reihe, die Reihen",row; line (n.)
"die Reinigung, die Reinigungen",dry cleaner (n.)
"die Reise, die Reisen",trip (n.)
reiten,to ride a horse (v.)
renovieren,to renovate (v.)
"der Renter, die Renterin",landlord (n.)
reservieren,to reserve (v.)
"der Rest, die Reste",the rest of things (n.)
"das Rezept, die Rezepte",recipe; prescription (n.)
das Rind,beef (n.)
"der Ring, die Ringen",ring (n.)
"der Rock, die Röcke",skirt (n.)
romantisch,romantic (adj.)
"das Rose, die Rosen",rose (n.)
"der Rücken, die Röcken",back (n.)
"der Rucksack, die Rucksäcke",backpack (n.)
rufen,to call (v.)
die Ruhe,peace (n.)
reden,to talk (v.)
rund,round (adj.)
"die Rundgang, die Rundgänge",tour (n.)
"die Sache, die Sachen",thing (n.)
sammeln,to collect (v.)
sauber,clean (adj.)
sauer,sour (adj.)
schädlich,bad (adj.)
schade,pity (n.)
schaffen,to do; to manage (v.)
Scharf,spice (n.)
schenken,to send gift (v.)
"die Schere, die Scheren",scissors (n.)
"das Schiff, die Schiffe",ship (n.)
schimpfen,to moan; to complain (v.)
der Schirm,umbrella (n.)
"das Schlafzimmer, die Schlafzimmer",bedroom (n.)
schlimm,bad; nasty (adj.)
"der Schmerz, die Schmerzen",pain (n.)
schmuzig,dirty (adj.)
"das Schloss, die Schlösse",castle (n.)
der Schnee,snow (n.)
schneiden (sich),to cut (v.)
schneien,to snow (v.)
die Schokolade,chocolate (n.)
schrecklich,terrible (adj.)
schriftlich,written (adj.)
schwach,weak (adj.)
schwanger,pregnant (adj.)
"das Schwein, die Schweine",swan (n.)
schwierig,important (adj.)
die See,ocean (n.)
"die Seife, die Seifen",soap (n.)
"die Sendung, die Sendungen",program (n.)
der Service,service (n.)
setzen,to sit; to put (v.)
sicher,safe; reliable; certain (adj.)
singen,to sing (v.)
"die Situation, die Situationen",situation (n.)
"der Ski, die Skier",skiing (n.)
sogar,even (adv.)
sonst,otherwise (adv.)
spannend,excting (adj.)
sparen,to save (money) (v.)
der Spaß,fun (n.)
"der Spaziergang, die Sparziergange",walk; stroll (n.)
sparzieren,to walk; to stroll (v.)
speichern,to save; to store (data) (v.)
"das Spiel, die Spiele",game (n.)
sportlich,sporty (adj.)
"der Sportplaze, die Sportplätze",sports ground (n.)
"die Sprechstunde, die Sprechstunden",consultation (n.)
"der Stadtplan, die Stadtpläne",map (n.)
"der Star, die Stars",star (n.)
stark,strong (adj.)
stadttfinden,to take place (v.)
sterben,to die (v.)
"der Steifel, die Steifel",boots (n.)
"der Stift, die Stifte",pen (n.)
"das Stiependium, die Stiependiumen",scholarship (n.)
"das Stockwerk, die Stockwerke",floor; level (n.)
stören,to bother (v.)
"der Strand, die Strände",beach (n.)
streiten ,to argue (v.)
streng,strict (adj.)
der Stress,stress (n.)
stressig,stressful (adj.)
"das Stück, die Stüke",piece (n.)
"der Stuhl, die Stühle",chair (n.)
super,super (adj.)
"der Supermarkt, die Supermärkte",supermarket (n.)
"die Suppe, die Suppen",soup (n.)
surfen,to surf (v.)
die Sußikeiten,sweets (n.)
sympathisch,sympathic (adj.)
"das Tablet, die Tablets",tablet (n.)
"die Tablette, die Tabletten",pill (n.)
"die Tafel, die Tafeln",board; sign (n.)
das Taschengeld,pocket money (n.)
"die Tasse, die Tassen",cup (n.)
austauschen,to exchange (v.)
"das Team, die Teams",team (n.)
teilen,to share (v.)
teilnehmen,to participate (v.)
"der Teller, die Teller",plate (n.)
das Tennis,tennis (n.)
"das Theater, die Theater",theater (n.)
tief,deep (adj.)
"das Tier, die Tiere",animal (n.)
"der Tipp, die Tipps",tip (n.)
"der Titel, die Titel",title (n.)
toll,great (adj.)
"der Topf, die Töpfe",pot (n.)
"die Torte, die Torten",gateau  (n.)
total,total (adv.)
"die Tour, die Touren",tour (n.)
"der Tourist, die Touristen",tourist (n.)
tragen,to carry (v.)
trainieren,to train (v.)
"das Training, die Trainings",training (n.)
"der Traum, die Träume",dream (n.)
träumen,to dream (v.)
traurig,sad; sorrowful (adj.)
trocken,dry (adj.)
"das Tshirt, die Tshirts",tshirt (n.)
"die Tür, die Türen",door (n.)
typisch,typical (adj.)
üben,to practice (v.)
überall,everywhere (adv.)
übermorgen,the day after tomorrow (n.)
übersetzen,to translate (v.)
"die Übersetzung, die Übersetzungen",translation (n.)
umsteigen,to transfer (transportation) (v.)
sich umziehen ,to get dressed (v.)
"der Umzug, die Umzüge",move (n.)
unbedingt,definitely (adv.)
"der Umfall, die Umfälle",accident (n.)
"die Universität, die Universitäten",university (n.)
unterhalten sich,to talk (v.)
"der Unterkunft, die Unterkünfte",accommodation (n.)
unternehmen,to do; to go (v.)
"der Unterschield, die Unterschielde",difference (n.)
untersuchen,to examine (v.)
unterwegs sein,on the way (adj.)
verabredet sein,to arrange a meet (v.)
"die Veranstaltung, die Veranstaltungen",organization (n.)
vereinbaren,to arrange (formal) (v.)
vergleichen,to compare (v.)
der Verkehr,transportation (n.)
"das Verkehrsmittel, die Verkehrsmittel",means of transportation (n.)
verletzen,to injure (v.)
verlieben,to fall in love (v.)
verlieren,to miss; to lose (v.)
verpassen,to miss (v.)
verreisen,to go away (v.)
verschieben,to shift (v.)
verschieden,different (adj.)
versuchen,to attempt (v.)
"der Vogel, die Vögel",bird (n.)
voll,full (adj.)
"der Volleyball, die Volleybälle",volleyball (n.)
verbereiten,to prepare for (v.)
vorgestern,the day before yesterday (n.)
vorher,before (adv.)
"der Vorschlag, die Vorschläge",suggestion (n.)
vorwärts,forward (adv.)
wach,awake (adj.)
"der Wagen, die Wagen",car; cart (n.)
wählen,to choose (v.)
wahrscheinlich,in fact (adv.)
wahr,true (adj.)
"der Wald, die Wälder",forest (n.)
warm,warm (adj.)
"die Wäsche, die Wäschen",laundry (n.)
"die Webseite, die Webseiten",website (n.)
wechseln,to change (v.)
wecken,to wake up (v.)
"der Weg, die Wege",path (n.)
wegen,because of (prep.)
weich,soft (adj.)
weil,because (conj.)
weinen,to cry ( v.)
wenigstens,at least (adv.)
wenn,if (prep.)
"die Werkstatt, die Werkstätten",workshop (n.)
"der Wettbewerb, die Wettbewerbe",competition (n.)
windig,windy (adj.)
wirklich,really (adv.)
"der Witz, die Witze",joke (n.)
witzig,funny (adj.)
"das Wohnzimmer, die Wohnzimmer",living room (n.)
"der Workshop, die Workshops",workshop (n.)
"der Wunsch, die Wünsche",wish (n.)
wünschen,to wish (v.)
"die Wurst, die Würste",sausage (n.)
"die Zahl, die Zahlen",number (n.)
"der Zahn, die Zähne",tooth (n.)
zeichnen,to draw (v.)
zeigen,to show (v.)
"die Zeitschrift, die Zeitschiften",magazine (n.)
"die Zeitung, die Zeitungen",newspaper (n.)
"das Zelt, die Zelte",tent (n.)
"das Zentrum, die Zentrumen",center (n.)
"der Zettel, die Zettel",paper note (n.)
"das Zeugnis, die Zeugnisse",report (n.)
"das Ziel, die Ziele",goal; target (n.)
"der Zirkus, die Zurkusse",circus (n.)
"die Zitrone, die Zitronen",lemon (n.)
"der Zoo, die Zoos",zoo (n.)
der Zucker,sugar (n.)
zuerst,first (adv.)
zuhören,to listen to (v.)
zuletzt,last (adv.)
zum Beispiel,for example 
zumachen,to close (v.)
