"die Sekunde, die Sekunden",second
"die Durchsage, die Durchsagen",broadcast (n.)
dürfen,allow (v.)
der Durst,thirst (n.)
sich duschen,take a shower (v.)
"die Dusche, die Duschen",shower (n.)
"die Ecke, die Ecken",corner (n.)
"die Ehefrau, die Ehefrauen",wife (n.)
"der Ehemann, die Ehemänner",husband (n.)
"das Ei, die Eier",egg (n.)
einfach,easy (adj.)
"der Eingang, die Einganen",entrance (n.)
einkaufen,shop (v.)
einladen,invite (v.)
"die Einladung, die Einladungen",invitation (n.)
einmal,once (adv.)
einsteigen,get on (v.)
"der Eintritt, die Eintritte",admission (n.)
das Einzelzimmer,single room (n.)
die Eltern,parent (n.)
"das Email, die Emails",email (n.)
"der Einfänger, die Einfänger",receiver (n.)
einpfehlen,recommand (v.)
enden,end (v.)
"das Ende, die Enden",end (n.)
entschuldigen,to excuse (v.)
"die Entschuldigung, die Entschuldigungen",Excuse me 
er,he (pron.)
"das Ergebnis, die Ergebnisse",result (n.)
erklären,explain (v.)
erlauben,allow (v.)
"der Erwachsene, die Erwachsenen",adult (n.)
erzählen,tell (v.)
es,it (pron.)
essen,eat (v.)
das Essen,eat (n.)
euer,your (pron.)
fahren,drive (v.)
der Fahrer,driver (n.)
"die Fahrkarte, die Fahrkarten",train ticket (n.)
"das Fahrrad, die Fahrräder",bicycle (n.)
falsch,wrong (adj.)
"die Familie, die Familien",family (n.)
"der Familienname, die Familiennamen",family name (n.)
der Familienstand,family state (n.)
"die Farbe, die Farben",color (n.)
"das Fax, die Faxe",fax (n.)
ferien,celebrate (v.)
fehlen,disappear (v.)
"der fehler, die fehler",error (n.)
fernsehen,TV watching (v.)
fertig,finished (adj.)
das Feuer,fire (n.)
das Fieber,fever (n.)
"der Film, die Filme",movie (n.)
finden,find (v.)
"der Fisch, die Fische",fish (n.)
"die Flasche, die Flaschen",bottle (n.)
das Fleisch,meat (n.)
fliegen,fly (v.)
der Abflug,departure (n.)
abfliegen,depart (v.)
"der Flughafen, die Flughäfen",airport (n.)
"das Flugzeug, die Flugzeuge",flight (n.)
"das Formular, die Formulare",form (n.)
"das Foto, die Fotos",photo (n.)
fragen,ask (v.)
"die Frage, die Fragen",question (n.)
"die Frau, die Frauen",woman (n.)
frei,free (adj.)
die Freizeit,freetime (adj.)
fremd,foreign (adj.)
freuen sich auf,look forward to 
freuen sich über,be excited about 
"der Freund, die Freundin",friend (n.)
früher,earlier (adj.)
frühstücken,eat breakfast (v.)
das frühstück,breakfast (n.)
"die Führung, die Führungen",guided tour (n.)
für,for 
"der Fuß, die Füße",foot (n.)
"der Fußball, die Füßbälle",football (n.)
"der Garten, die Gärten",garden (n.)
"der Gast, die Gäste",guest (n.)
geben,give (v.)
geboren,borned (adj.)
das Geburtstagjahr,birthday year (n.)
der Geburtsort,birthday place (n.)
der Geburtstag,birthday (n.)
gefallen,favor (v.)
gegan,against; on (prop.)
gehören,belong to (v.)
das Geld,money (n.)
das Gemüse,vegetable (n.)
das Gepäck,package (n.)
gerade,straight; honest (adj.)
geradeaus,go straight (adv.)
gern,gladly (adv.)
"das Geschäft, die Geschäfte",store (n.)
"das Geschenk, die Geschenke",gift (n.)
die Geschwister,siblings (n.)
"das Gespräch, die Gespräche",conversation (n.)
gestern,yesterday (n.)
gestorben,die (v.)
"das Getränk, die Getränke",drink (n.)
das Gewicht,weight (n.)
gewinnen,won (v.)
"das Glas, die Gläser",glass (n.)
glauben,believe (v.)
gleich,same (adj.)
"das Gleis, die Gleise",platform (n.)
das Glück,luck (n.)
glücklich,happy (adj.)
der Glückwunsch,congratulations (n.)
Grad,degree (n.)
gratulieren,thank (v.) 
grillen,grill (v.)
groß,big (adj.)
die Größe,size (n.)
die Größeltern,grandparents (n.)
der Größvater,grandpa (n.)
die Größmutter,grandma(n.)
"die Gruppe, die Gruppen",group (n.)
"der Gruß, die Grüße",greeting (n.)
gültig,valid (adj.)
günstig,economical (adj.)
gut,good (adj.)
gehen,go (v.)
"das Haar, die Haare",hair (n.)
haben,have (v.)
"das Hähnchen, die Hähnchen",chicken (n.)
die Halbpension,half board (n.)
die Halle,lobby; Hall (n.)
halten,stop (v.)
"die Haltestelle, die Haltestellen",stop (n.)
"die Hand, die Hände",hand (n.)
"das Handy, die Handys",cellphone (n.)
"das Haus, die Häuser",house (n.)
"die Hausaufgabe, die Hausgaben",homework (n.)
"die Hausfrau, die Hausfrauen",housewife (n.)
"die Hausmann, die Hausmänner",househusband (n.)
die Heimat,hometown (n.)
heiraten,marry (v.)
heißen,are called (v.)
helfen,help (v.)
hell,bright (adj.)
"der Herd, die Herde",stove (n.)
"der Herr, die Herren",Mr. (n.)
herzlich,sincere (adj.)
heute,today (n.)
helfen,help (n.)
hier,here (adv.)
hinter,behind (prep.)
"das Hobby, die Hobbys",hobby (n.)
hoch,high (adj.)
"die Hochzeit, die Hochzeiten",wedding (n.)
holen,fetch (v.)
hören,hear (v.)
"das Hotel, die Hotels",hotel (n.)
"der Hund, die Hunde",dog (n.)
der Hunger,hunger (n.)
ich,I (pron.)
immer,always (adv.)
in,in (prep.)
"die Information, die Informationen",information (n.)
international,international (adj.)
das Internet,Internet (n.)
"die Jacke, die Jacken",jacket (n.)
jetzt,now (adv.)
"der Job, die Jobs",job (n.)
"der Jugendliche, die Jugendlichen",teenage (n.)
jung,young (adj.)
"der Junge, die Jungen",boy (n.)
"der Kaffee, die Kaffees",coffee (n.)
kaputt,broken (adj.)
"die Karte, die Karten",card; ticket  (n.)
"die Kartoffel, die Kartoffeln",potato (n.)
die Kasse,counter (n.)
kaufen,buy (n.)
kennen,know (v.)
kennenlernen,meet; get to know (v.)
"das Kind, die Kinder",child (n.)
der Kindergarten,kindergarten (n.)
"das Kino, die Kinos",movie theater (n.)
"der Kiosk, die Kioske",kiosk (n.)
klar,clear (adj.)
die Klasse,class (n.)
die Kleidung,clothes (n.)
klein,small (adj.)
kochen,cook (v.)
der Koffer,suitcase (n.)
"der Kollege, die Kollegin",colleage (n.)
kommen,come (v.)
können,can
"das Konto, die Kontoen",account (n.)
"der Kopf, die Köpfe",head (n.)
kosten,cost (v.)
krank,sick (adj.)
kriegen,get; receive (v.)
"die Küche, die Küchen",kitchen (n.)
der Kuchen,cake (n.)
der Kugelschreiber,pen (n.)
der Kühlschrank,refrigerator (n.)
kulturell,cultural (adj.)
sich kümmern,look after (v.)
"der Kunde, die Kundin",client (v.)
"der Kurs, die Kurse",course (n.)
kurz,short (adj.)
lachen,laugh (v.)
"der Laden, die Läden",shop (n.)
"das Land, die Länder",land (n.)
lang,long (adj.)
lange,how long
langsam,slow (adj.)
laufen,run (v.)
laut,loud (v.)
leben,live (v.)
"das Leben, die Leben",life (n.)
die Lebensmittel,grocery (n.)
ledig,single (adj.)
legen,put (v.)
"der Lehrer, die Lehrerin",teacher (n.)
leicht,light; easy (adj.)
lesen,read (v.)
lernen,learn (v.)
leider,unfortunately (adv.)
leise,quiet (adj.)
die Leute,human (n.)
"das Licht, die Lichter",light (n.)
"das Lied, die Lieder",song (n.)
liegen,lie (v.)
links,left (adv.)
"das Lokal, die Lokale",bar; restaurant (n.)
"die Lösung, die Lösungen",solution (n.)
lustig,interesting (adj.)
machen,make (v.)
"das Mädchen, die Mädchen",girl (n.)
"der Mann, die Männer",man (n.)
männlich,male (adj.)
"die Maschine, die Maschinen",machine (n.)
"das Meer, die Meere",see (n.)
mehr,more (adv.)
mein,my 
"der Mensch, die Menschen",human (n.)
"die Miete, die Mieten",rent (n.)
mieten,rent (v.)
die Milch,milk (n.)
mit,with (prep.)
mitbringen,bring .. with 
mitmachen,join (v.)
mitkommen,come along (v.)
mitnehmen,take…with (v.)
die Mitte,middle (n.)
die Möbel,furniture (n.)
möchten,would like 
mögen,like (v.)
möglich,possible (adj.)
"der Moment, die Momente",moment (n.)
morgen,tomorrow (adv.)
müde,tired (adj.)
"der Mund, die Münder",mouth (n.)
müssen,must 
"die Mutter, die Mütter",mother (n.)
nach,to; after (prep.)
"der Name, die Namen",name (n.)
nehmen,take (v.)
nein,no
neu,new (adj.)
nichts,nothing 
nie,never (adv.)
noch,still (adv.)
normal,normal (adj.)
"die Nummer, die Nummern",nummer (n.)
nur,only (adv.)
oben,upstairs (adv.)
das Obst,fruit (n.)
oder,or 
öffnen,open (v. )
geöffnet ,open (adj.)
oft,often (adv.)
ohne,without (prep.)
das Öl,oil (n.)
die Oma,grandma (n.)
der Opa,grandpa (n.)
die Ordnung,order (n.)
"der Ort, die Orte",location (n.)
das Papier,paper (n.)
die Papiere,document (n.)
"der Partner, die Partnerin",partner (n.)
"die Party, die Partys",party(n.)
"der Pass, die Pässe",passport (n.)
"die Pause, die Pausen",pause (n.)
"der Plan, die Pläne",map (n.)
"der Platz, die Plätze",square (n.)
die Polizei,police (n.)
die Pommes,French fries (n.)
die Post,post office (n.)
"die Postleitzahl, die Postleitzahlen",post code (n.)
das Praktikum,practicum (n.)
das Praxis,clinlic (n.)
"der Preis, die Preise",price (n.)
"das Problem, die Probleme",problem (n.)
"der Prospekt, die Prospekte",brochure (n.)
"die Prüfung, die Prüfungen",test (n.)
pünklich,punctual (adj.)
rauchen,smoke (v.)
"der Raum, die Räume",room (n.)
"die Rechnung, die Rechnungen",bill (n.)
richtig,right (adv.)
regnen,rain (v.)
der Regen,rain (n.)
der Reis,rice (n.)
reisen,travel (v.)
"das Reisebüro, die Reisebüros",travel agent (n.)
"der Reiseführer, die Reiseführin ",travel guide (n.)
reparieren,repair (v.)
"die Reparatur, die Reparaturen",repair (n.)
"das Restaurant, die Restaurants",restaurant (n.)
"die Rezeption, die Rezeptionen",reception (n.)
richtig,right (adj.)
riechen,smell (v.)
ruhig,quiet (adj.)
"der Saft, die Säfte",juice (n.)
sagen,say (v.)
"der Salat, die Salate",salad (n.)
"das Salz, die Salze",salt (n.)
"die Satz, die Sätze",sentence(n.)
der Schalter,"desk, counterö switch (n.)"
scheinen,shine (v.)
schicken ,send (v.)
"das Schild, die Schilder",shield; sign (n.)
der Schinken,ham (n.)
schlafen,sleep (v.)
schlecht,bad (adj.)
schließen,close (v.)
geschlossen,closed (adj.)
"der Schluss, die Schlüsse",end (n.)
"der Schlüssel, die Schlüssel",key (n.)
schmecken,taste (v.)
schnell,fast (adj.)
schon,already (adv.)
schön,beautiful (adj.)
"der Schrank, die Schränke",closet (n.)
schreiben,write (v.)
"der Schuh, die Schuhe",shoes (n.)
die Schule,school (n.)
"der Schüler, die Schülerin",(before college) student (n.)
schwer,heavy (adj.)
"die Schwester, die Schwestern",sister (n.)
schwimmen,swim (v.)
"das Schwimmbad, die Schwimmbäder",swimming pool (n.)
"der See, die Seen",lake (n.)
sehen,see (v.)
"die Sehenwüdigkeit, die Sehenwüdigkeiten",tourist spot (n.)
sehr,very (adv.)
sein,be (v.)
seit,since (adv.)
selbstständig,independent (adj.)
sitzen,sit (v.)
so,so (adv.)
"das Sofa, die Sofas",sofa (n.)
sofort,immediately (adv.)
"der Sohn, die Söhne",son (n.)
sollen,should 
"die Sonne, die Sonnen",sun (n.)
spät,late (adv.)
später,later (adv.)
"die Speisekarte, die Speisekarten",menu (n.)
spielen,play (v.)
der Sport,sport (n.)
sprechen,speak (v.)
"die Sprache, die Sprachen",language (n.)
"die Stadt, die Städte",city (n.)
stehen,stand (v.)
"die Stelle, die Stellen","job, position (n.)"
stellen,put; place (v.)
"der Stock, die Stöcke",floor (n.)
"die Straße, die Straßen",street (n.)
studiern,study (v.)
"der Student, die Studentin",college student (n.)
das Studium,college study (n.)
"die Stunde, die Stunden",hour (n.)
suchen,look for (v.)
tanzen,dance (v.)
"die Tasche, die Taschen",bag (n.)
"das Taxi, die Taxis",taxi (n.)
"der Tee, die Tees",tea (n.)
"der Teil, die Teile",part (n.)
telefonieren,call (n.)
"das Telefon, die Telefone",telephone (n.)
"der Termin, die Termine","meeting, appointment (n.)"
der Test,test (n.)
teuer,expensive (adj.)
"der Text, die Texte",text (n.)
"das Thema, die Themaen",theme (n.)
"das Ticket, die Tickets",ticket (n.)
"der Tisch, die Tische",table (n.)
"die Tochter, die Töchter ",daughter (n.)
"die Toilette, die Toiletten",toilet (n.)
"die Tomate, die Tomaten",tomato (n.)
tot,dead (adj.)
sich treffen,meet (v.)
"die Treppe, die Treppen",stairs (n.)
trinken,drink (v.)
Tschüss,goodbye 
tun,do (v.)
über,over; above (prep.)
übernachten,spend a night (v.)
überweisen,transfer (v.)
"die Uhr, die Uhren",clock (n.)
um,at; around (prep.)
umziehen,move out (v.)
und,and (conj.)
unten,downstairs (adv.)
unter,under (prep.)
die Unterricht,course (n.)
unterschreiben,sign (v.)
die Unterscrift,signature (n.)
der Urlaub,vacation (n.)
"der Vater, die Väter",father (n.)
verboten,forbidden (adj.)
verdienen,earn (v.)
"der Verein, die Vereines",club (n.)
verheiratet,married (adj.)
verkaufen,sell (v.)
"der Verkäufer, die Verkäuferin",clerk (n.)
vermieten,rent (out) (v.)
"der Vermieter, die Vermieterin",landlord (n.)
verstehen,understand (v.)
"der Verwandte, die Verwandten",relatives (n.)
viel- viele,many; much (adv.)
vielleicht,perhaps (adv.)
von,from (prep.)
vor,before; in front of (prep.)
"der Vorname, die Vornamen",first name (n.)
die Versicht,caution (n.)
vorstellen,introduce; imagine (v.)
die Vorwahl,area code (n.)
wanderen,hike (v.)
wann,when (conj.)
warten,wait (v.)
warum,why
was,what
was für ein,what kind of 
sich waschen,wash (v.)
das Wassesr,water (n.)
weh tun,in pain 
weiblich,female (adj.)
der Wein,wine (n.)
weiter,further (adj.)
weit,far; wide (adj.)
die Welt,world (n.)
wenig,less; few (adv.)
wer,who
werden,become (v.)
das Wetter,weather (n.)
wichtig,important (adj.)
wie,how 
wiederholen,again (adv.)
wiederhören,repeat (v.)
das Wiederhören,goodbye (hear )
das Wiedersehen,goodbye (see)
wie viel- viele,how many/ much
willkommen,welcome 
"der Wind, die Winde",wind (n.)
wir,we (pron.)
wissen,know (v.)
wo,where
woher,from where
wohin,to where 
wohnen,live in (v.)
die Wohnung,apartment (n.)
wollen,want (v.)
"das Word, die Wörter",word (n.)
wunderbar,wonderful (adj.)
zahlen,pay (v.)
die Zeit,time (n.)
zurzeit,at the moment (adv.)
"die Zeitung, die Zeitungen",newpapaer (n.)
"die Zigarette, die Zigaretten",cigarette (n.)
"das Zimmer, die Zimmer",room (n.)
der Zoll,custom (n.)
zu,to 
zufrieden,satisfied (adj.)
"der Zug, die Züge",train (n.)
zurück,back (prep.)
zusammen,together (adv.)
zwischen,between (prep.)
